Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Hyderabad Nawabs 2,2019,125,Comedy,5.2,27,Mama,Gullu Dada,Farha Khan,Aziz Naser
I - Proud to be an Indian,2004,129,"Action, Crime, Drama",6.1,526,Puneet Sira,Sohail Khan,Tim Lawrence,Mona Ambegaonkar
I Am,2010,95,Drama,6.8,948,Onir,Juhi Chawla,Rahul Bose,Radhika Apte
I Am 24,2010,118,"Comedy, Romance",6,"1,185",Saurabh Shukla,Rajat Kapoor,Ranvir Shorey,Neha Dhupia
"I Am Alone, So Are You...",2019,117,Romance,6.5,897,Harish Vyas,Anshuman Jha,Zareen Khan,Ravi Khanvilkar
I Am Banni,2019,130,Drama,5.8,1938,Nitin Chaudhary,K.K. Makwana,Gaurav Garg,Amanda Rosario
I Am Draupadi,2021,110,Drama,5.8,1938,Pawan k Shrivastava,Bidita Bag,Mayur More,Rajit Kapoor
I Am Kalam,2010,88,"Comedy, Drama, Family",8,"3,895",Nila Madhab Panda,Nilamadhab Panda,Gulshan Grover,Harsh Mayar
I Am Mr Mother,2015,90,"Drama, Romance",5.7,23,I.A. Siddique,Mehul Adwani,Dheeraj Bishnoi,Munmun Guha
I Am Not a Begger,2018,120,Drama,5.8,1938,Vijay Pal,Aditya Sharma,Paris Keswani,Ehsan Khan
I Am Not a Player,2021,128,Comedy,5.8,1938,Chand Mehta,Arjun Kapoor,Shubhangi Latkar,Manoj Bakshi
I Am Not Blind,2020,101,"Drama, Family",7.2,12,Govind Mishra,Vinay Ambast,Amit Ghosh,Shikha Itkan
I Am Not Devdas,2017,128,Comedy,5.8,1938,Vishal Taneja,Farhana Fatema,Ayushi Singh,Apoorv Vij
I Am Offended,2015,102,Documentary,8.6,17,Jaideep Varma,Tanmay Bhat,Cyrus Broacha,Vir Das
I Am Roshni,2018,80,"Drama, Family, Romance",5.4,11,Manoj J. Bhatia,Suresh Thomas,Ankita Parihar,Yash Rajpara
I Am Zero,2019,128,Drama,8.2,8,Suraj Tiwari,Raza Murad,Umesh Bajpai,Shradha Singh
I Did Not Kill Gandhi,2005,100,Drama,7.3,700,Jahnu Barua,Anupam Kher,Urmila Matondkar,Parvin Dabas
I Don't Luv U,2013,120,Romance,6,25,Amit Kasaria,Jass Bhatia,Ruslaan Mumtaz,Chetna Pande
I Hate Luv Storys,2010,129,"Comedy, Drama, Romance",5.6,"7,675",Punit Malhotra,Imran Khan,Sonam Kapoor,Sammir Dattani
I Know You,2020,98,Horror,3.5,20,Jayveer Panghaal,Agast Anand,Nishant Bhardwaj,Muzahid Khan
I Love Desi,2015,128,"Comedy, Romance",5.8,1938,Pankaj Batra,Shakti Anand,Arun Bali,Vedant Bali
I Love Dubai,1987,128,"Action, Comedy, Thriller",5.8,1938,Ikram Akhtar,Exhan Khan,Shanti Dynamite,Shakti Kapoor
I Love Julie,2002,128,Thriller,5.8,1938,V.K. Singh,Jasdev,Malvindra Jit,Ali Khan
I Love NY,2015,127,"Comedy, Romance",3.4,648,Radhika Rao,Vinay Sapru,Sunny Deol,Kangana Ranaut
I Love You,1992,128,"Drama, Romance",3.7,9,Vara Prasad,Sabah,Shobha,Amrish Puri
I Love You,1985,128,Romance,5.8,1938,Prakash Verma,Sahila Chaddha,Gulshan Grover,Rajan Sippy
I Love You Teacher,1989,123,Thriller,5.8,1938,Bhanupriya,Krishna Ghattamaneni,Charan Raj,unknown
I Love You Welcome Hero,2004,128,Romance,5.8,1938,Sonali Joshi,Annu Prabhakar,unknown,unknown
I See You,2006,122,"Comedy, Drama, Fantasy",4.1,"1,119",Vivek b Agrawal,Arjun Rampal,Vipasha Agarwal,Chunky Panday
I Was Born in Delhi,2011,93,Drama,3.7,7,Bishnu Dev Halder,unknown,unknown,unknown
I Wonder...,2009,70,Documentary,5.8,1938,Anupama Srinivasan,unknown,unknown,unknown
"I, Me aur Main",2013,108,"Comedy, Drama, Musical",4.6,"1,824",Kapil Sharma,John Abraham,Chitrangda Singh,Prachi Desai
I.D.,2012,87,Drama,6.9,152,Kamal K.M.,Geetanjali Thapa,Murari Kumar,Shashi Sharma
Ibrat,1954,128,Drama,5.8,1938,Khatun,Chandra Kumar,Prem Kumar,Sheikh
Icarus,2020,99,Thriller,5.8,1938,Abhijeet More,Kiran D Patil,Nidhi Garg,Sagar More
Ice Ice Mighty,2015,128,Animation,5.8,1938,Rosauro Adorable,unknown,unknown,unknown
Ichadhari Shaitan,2000,128,Horror,5.8,1938,Unknown,unknown,unknown,unknown
Ichchhaye Hazar,2000,128,Thriller,5.8,1938,Unknown,unknown,unknown,unknown
Idam Jagath,2018,126,"Action, Thriller",5.4,115,Anil Srikantam,Sumanth,Anju Kurian,Darbha Appaji Ambarisha
Idd Ka Chand,1932,128,Unknown,5.8,1938,Anand Prasad Kapoor,Sardar Akhtar,Alibux,unknown
Idd Ka Chand,1964,128,Drama,5.8,1938,Nanubhai Vakil,Chitra,Vijay Dutt,Hiralal
Idd Ka Salaam,1976,128,Drama,5.8,1938,Ajit Singh Deol,Dhanraj,Ranjan,Sanjana
Idd Mubarak,1988,128,Drama,5.8,1938,Dev Dutt,Jankidas,Leela Mishra,Kanchan Rawal
Identity,2019,99,Mystery,5.8,1938,Amit Chauhan,Naina Mishra,Anu Simran,Surkhab Sandhu
Identity Card,2014,92,"Comedy, Drama, Sci-Fi",5.9,63,Rahat Kazmi,Tia Bajpai,Furqan Merchant,Raghuvir Yadav
Idgah,2017,77,"Drama, Family",5.8,1938,Piyush Panjuani,Ziya Azizi,Shabana Azmi,Shahid Lateef
Idiot Box,2010,131,"Comedy, Drama",4.5,38,Sunanda Mitra,Sushant Singh,Hrishitaa Bhatt,Milind Gunaji
If She Built a Country,2018,59,Documentary,5.8,1938,Maheen Mirza,unknown,unknown,unknown
Iftikhar,2022,128,Drama,5.8,1938,Unknown,unknown,unknown,unknown
III Smoking Barrels,2017,127,Drama,6.5,117,Sanjib Dey,Subrat Dutta,Indraneil Sengupta,Mandakini Goswami
Ikke Pe Ikka,1994,134,"Action, Comedy",3.6,631,Raj N. Sippy,Akshay Kumar,Shanti Priya,Prithvi
Ilaaka,1989,161,"Action, Drama",4.7,147,Aziz Sejawal,Mithun Chakraborty,Sanjay Dutt,Madhuri Dixit
Ilaaka,1986,190,Action,5.8,1938,R. Krishnamurthy,Madhavi,Sanjeev Pandey,Rajinikanth
Ilaaka Kishorganj,2018,128,"Action, Thriller",5.9,18,J. Nutan Punkaj,Rohit R.K.,Shikha Swaroop,Deepak Lohar
Ilzaam,1986,164,"Drama, Family",6,95,Shibu Mitra,Shashi Kapoor,Shatrughan Sinha,Raj Kiran
Ilzaam,2007,90,Action,5.8,1938,Unknown,unknown,unknown,unknown
Ilzam,1954,133,"Drama, Family, Romance",6.1,7,R.C. Talwar,Kishore Kumar,Meena Kumari,Jagdish Kanwal
Ilzam,1970,133,"Action, Crime, Drama",5.8,1938,Kamran,Dara Singh,Sanjana,Prem Nath
I'm in Love,2007,140,Action,9.2,36,Tom Alter,Bobby Darling,Anil Dhawan,Kiran Juneja
Imaan,1974,131,Romance,7.4,27,B. Padmanabham,Sanjeev Kumar,Leena Chandavarkar,Johnny Walker
Imaandaar,1987,152,"Action, Crime, Drama",5.4,62,Sushil Malik,Vikas Anand,Birbal,Chandrashekhar
Immaan Dharam,1977,156,"Action, Drama",5.7,177,Desh Mukherjee,Shashi Kapoor,Sanjeev Kumar,Amitabh Bachchan
Impatient Vivek,2011,128,"Comedy, Drama, Romance",2.1,76,Rahat Kazmi,Vivek Sudershan,Sayali Bhagat,Ronnaoq Ahuja
Imperial Mail,1939,128,Action,5.8,1938,Daud Chand,R.N. Vaidya,Baburao Pahelwan,Shah Jehan
Imtihaan,1994,152,"Action, Drama, Romance",5.3,338,Harry Baweja,Sunny Deol,Saif Ali Khan,Raveena Tandon
Imtihaan,1949,128,Unknown,5.8,1938,Mohan Sinha,Surendra,Jugnu,Madhubala
Imtihan,1974,153,"Family, Drama",7.4,63,Madan Sinha,Vinod Khanna,Tanuja,Deven Verma
"In 1998, Mehndi was signed by Coca-Cola for product endorsement and was featured in 30 concerts across India",1998,128,Musical,5.8,1938,Deepak Gattani,Daler Mehndi,unknown,unknown
In Camera,2010,78,Documentary,6.4,14,Ranjan Palit,unknown,unknown,unknown
In Custody,1994,126,"Comedy, Drama",7.1,348,Ismail Merchant,Shashi Kapoor,Shabana Azmi,Om Puri
In India Today,1991,128,Drama,5.8,1938,Abdul Sattar Khan,Sadashiv Amrapurkar,Vinay Apte,Prem Chopra
In Our Country Cinema Is the Most Popular & Most Corrupt Art Form,2017,76,"Documentary, Drama",5.8,1938,Uttam Halder,Sanjeet Kumar,Uttam Halder,Sameer Potade
In Search of Bidesia,2019,77,Documentary,5.8,1938,Simit Bhagat,unknown,unknown,unknown
In Search of Life,2016,132,"Adventure, Drama, Sci-Fi",5.8,1938,Upamanyu Sushma Naskar,Aadi Jain,Sahib,Soham Singh Wala
In The Month of July,2021,128,Family,5.8,1938,Saurabh Sengupta,Shamim Akbarali,Donal Bisht,Ranjeet Jha
In the Name of Tai,2012,143,Drama,5.9,7,Ujjwal V. Thengdi,Parag Ajgaonkar,Asrani,Babita
In the Shadows,2017,117,"Drama, Thriller",7.1,577,Dipesh Jain,Manoj Bajpayee,Ranvir Shorey,Neeraj Kabi
In Their Shoes,2015,92,Documentary,6.8,41,Atul Sabharwal,unknown,unknown,unknown
In Your Name,2003,132,"Action, Drama, Romance",7.1,"17,628",Satish Kaushik,Salman Khan,Bhoomika Chawla,Sachin Khedekar
Inaam,1955,128,Family,5.8,1938,M.I. Dharamsey,Pratima Devi,Nasir Khan,Bimla Kumari
Inaam Dus Hazaar,1987,128,"Action, Thriller",6,142,Jyotin Goel,Sanjay Dutt,Meenakshi Sheshadri,Amrish Puri
Incredible India,1987,140,Drama,5.8,1938,Raj Singh Rajput,Atsede Addy Ethio,Garima Agarwal,Ramesh Goyal
In-Deewar,1987,128,Thriller,5.8,1938,Niddhish Puuzhakkal,unknown,unknown,unknown
Independence,1999,128,"Action, Thriller",4.5,61,Vinayan,Rajan P. Dev,Sphadikam George,Cochin Hanifa
India Dial 100,1987,128,Crime,5.8,1938,Yogesh Dubey,Divyendu Sharma,Nidhhi Agerwal,unknown
India Fashion Factory,2020,120,Comedy,5.8,1938,Rajesh Bajaj,Nikki Tamboli,Namashi Chakraborthy,unknown
India inside Out,2010,79,"Documentary, News",5.8,1938,Anand Bhaskar-Rao,Jonathan Klein,Karuna Mayee,unknown
India Lockdown,2021,128,Drama,5.8,1938,Madhur Bhandarkar,Shweta Basu Prasad,Aahana Kumra,Sai Tamhankar
India Untouched: Stories of a People Apart,2007,108,Documentary,8.9,208,Stalin Kurup,unknown,unknown,unknown
Indian,2001,178,"Action, Crime, Drama",5.4,"2,213",N. Maharajan,Sunny Deol,Shilpa Shetty Kundra,Raj Babbar
Indian 2,1987,128,"Action, Drama, Thriller",5.8,1938,S. Shankar,Rakul Preet Singh,Kajal Aggarwal,Kamal Haasan
Indian Babu,2003,128,"Drama, Romance",4.5,52,Lawrence D'Souza,Jaz Pandher,Gurleen Chopra,Mukesh Rishi
Indian Dreams,2012,91,"Documentary, Adventure",5.8,1938,Walter Größbauer,Claudia Pöchlauer,Bhupinder Chauhan,unknown
Indian lady,1940,128,Family,5.8,1938,Nr Archarya,unknown,unknown,unknown
Indian Never Again Nirbhaya,2018,128,Drama,6.5,27,Bidisha Adhikari,Kanchan Adhikari,Payal Kaashyap,Riecha Sharma
India's Daughter,2015,63,"Documentary, Biography, Crime",8.2,"1,998",Leslee Udwin,Asha Devi,Badri Singh,Satendra
India's Daughter,2015,120,"Action, Crime, Drama",6.9,21,Rupesh Paul,Omkar Das Manikpuri,Amann Grewal,Vishal Om Prakash
India's Most Wanted,2019,123,"Action, Adventure, Thriller",4.5,"1,991",Raj Kumar Gupta,Arjun Kapoor,Sudev Nair,Rajesh Sharma
Indira,1996,143,Drama,7,218,Suhasini,Anuradha Hasan,Arvind Swamy,Nassar
Indira M.A.,1934,158,Unknown,5.8,"1,938",Nandlal Jaswantlal,Ruby Mayer,Dinshaw Bilimoria,Raja Sandow P.K.
Indoo Ki Jawani,2020,118,"Comedy, Drama",3,"5,032",Abir Sengupta,Kiara Advani,Aditya Seal,Mushtaq Khan
Indra Leela,1956,128,Drama,5.8,"1,938",Trilok Kapoor,Kuldip Kaur,Leela Mishra,S.N. Tripathi
Indra Sabha,1956,128,Drama,5.8,"1,938",Nanubhai Vakil,Chitra,Daljeet,Hiralal
"Indradhanush, the Grey Shades of Love",2021,90,Mystery,8.8,5,Nalin Singh,Talia Bentson,Sommansh Sachdevva,unknown
Indrajeet,1991,128,"Action, Drama",4.5,258,K.V. Raju,Amitabh Bachchan,Jaya Prada,Kumar Gaurav
Indrani,1958,121,Drama,7.3,57,Niren Lahiri,Suchitra Sen,Uttam Kumar,Biman Bannerjee
Indrasabha,1932,211,"Musical, Romance",6,12,J.J. Madan,Nissar,Jehanara Kajjan,Abdul Rehman Kabuli
Indrasen,1952,128,Unknown,5.8,1938,Raja Nene,unknown,unknown,unknown
Indrudu Chandrudu,1989,158,"Comedy, Drama",7.2,293,Suresh Krishna,Kamal Haasan,Vijayshanti,Charan Raj
Indu in a Burkha,2020,120,Drama,5.8,1938,Preetam Naik,Adi Irani,Sharma Mohit,Dipesh Naik
Indu Sarkar,2017,139,"Drama, Thriller",6,"1,446",Madhur Bhandarkar,Kirti Kulhari,Tota Roy Chowdhury,Neil Nitin Mukesh
Indus Valley to Indira Gandhi,1970,240,Documentary,5.8,1938,S. Krishnaswamy,Sophia Aman,G.S. Gopalakrishnan,Baby Lata
Inimey Nangathan,2007,128,Animation,6.5,23,Venky Baboo,unknown,unknown,unknown
Inka Safar Shuru: Raghupati Raghav Raja Ram,2013,108,Drama,5.8,1938,Rajesh Krishna Tiwari,Abhay Bhargava,Shakti Kapoor,Mustaq Khan
Inkaar,1977,135,"Mystery, Thriller",6.9,189,Raj N. Sippy,Vinod Khanna,Vidya Sinha,Shreeram Lagoo
Inkaar,1943,128,Unknown,5.8,1938,Jagdish Sethi,unknown,unknown,unknown
Inkaar,2013,125,"Drama, Romance, Thriller",6,"2,491",Sudhir Mishra,Arjun Rampal,Chitrangda Singh,Vipin Sharma
InkLab,2011,62,"Adventure, Thriller",5.8,1938,Gaurav Chhabra,Mandeep Sodhi,unknown,unknown
Innocent The Bhola,1987,98,Thriller,5.8,1938,Riju Chandrayan,Marina Kuwar,Joanna Robaczewska,Hirock Sonowal
Inquilaab,1984,152,"Action, Drama, Thriller",5.8,271,Rama Rao Tatineni,Amitabh Bachchan,C.S. Dubey,Utpal Dutt
Inquilab,1935,144,Drama,7.4,38,Debaki Bose,Durga Khote,Prithviraj Kapoor,Syed Mohammed
Inquilab,1956,128,Unknown,5.8,1938,Kedar Kapoor,Helen,Kuldip Kaur,M. Rajan
Inquilab Ke Baad,1984,128,Unknown,5.8,1938,Utpal Dutt,Utpal Dutt,Rabi Ghosh,Vishnuvardhan
Inquilab Zindabad,1975,128,Action,5.8,1938,Krishna Ghattamaneni,Manjula,Vijaya Nirmala,unknown
Insaaf,1987,128,"Action, Drama",6.7,68,Mukul Anand,Vinod Khanna,Dimple Kapadia,Suresh Oberoi
Insaaf,1937,128,Unknown,5.8,1938,Jagatrai Pesumal Advani,Leela Chitnis,Indurani,unknown
Insaaf,1966,129,"Action, Adventure, Drama",5.7,6,Radhakant,Prithviraj Kapoor,Dara Singh,Azaad Irani
Insaaf Apne Lahoo Se,1994,140,"Action, Drama",4.7,43,Latif Khan,Shatrughan Sinha,Sanjay Dutt,Shekhar Suman
Insaaf Ka Khoon,1991,128,"Crime, Drama",5.8,1938,Romi Behl,Shoma Anand,Chandrashekhar,Prem Chopra
Insaaf Ka Suraj,1990,128,Action,5.8,1938,Sudhakar Sharma,Ajit Singh Deol,Satyendra Kapoor,Shammi Kapoor
Insaaf Kahan Hain,1978,128,Drama,5.8,1938,Leena Das,Prema Narayan,unknown,unknown
Insaaf Kaun Karega,1984,128,"Action, Drama",4.9,44,Sudarshan Nag,Dharmendra,Rajinikanth,Jaya Prada
Insaaf Ki Awaaz,1986,162,"Action, Drama",4.8,28,D. Rama Naidu,Rekha,Anil Kapoor,Richa Sharma
Insaaf Ki Devi,1992,128,Action,3,25,S.A. Chandrashekhar,Jeetendra,Rekha,Niraj
Insaaf Ki Jung,2006,128,"Action, Drama",5.8,1938,Prakash Kapoor,Arjun,Ram Asra,Mithun Chakraborty
Insaaf Ki Manzil,1988,132,Drama,5.8,1938,Braj Bhushan,Leena Dar,Leena Das,Poonam Dasgupta
Insaaf Ki Takkar,1993,128,Action,5.8,1938,Peerala,Devraj,Shankar,unknown
Insaaf Main Karoonga,1985,128,"Crime, Mystery, Thriller",6.8,38,Shibu Mitra,Rajesh Khanna,Padmini Kolhapure,Tina Ambani
Insaaf Nagin Ka,1990,128,Action,5.8,1938,Sarath Babu,Madhavi,unknown,unknown
Insaaf: The Final Justice,1997,155,"Action, Comedy, Drama",4.2,864,Dayal Nihalani,Akshay Kumar,Shilpa Shetty Kundra,Paresh Rawal
Insaaf: The Justice,2004,136,"Action, Drama",3.9,92,Shrey Srivastava,Dino Morea,Namrata Shirodkar,Sanjay Suri
Insaan,1982,150,"Action, Drama, Family",5.4,29,Narendra Bedi,Jeetendra,Vinod Khanna,Reena Roy
Insaan,1944,128,Unknown,5.8,1938,Babu Bhai Jani,David Abraham,Maya Banerjee,Krishna Chandra Dey
Insaan,1952,128,Drama,5.8,1938,Jagdish Sethi,Prithviraj Kapoor,Ragini,Kamal Kapoor
Insaan Aur Haiwan,1978,128,Action,5.8,1938,Unknown,unknown,unknown,unknown
Insaan Aur Insaan,1973,128,Drama,5.8,1938,Anwar Hussain,Anjana Mumtaz,Rehman,Varinder
Insaan Aur Shaitan,1970,128,Action,5.1,14,Aspi Irani,Sanjeev Kumar,Faryal,Sheikh Mukhtar
Insaan Bana Shaitan,1992,128,Horror,3.4,11,Mohan Bhakri,Shagufta Ali,Aparajita,Rajni Bala
Insaan Jaag Utha,1959,135,"Drama, Family, Musical",6.8,38,Shakti Samanta,Sunil Dutt,Madhubala,Nasir Hussain
Insaan Ya Shaitan,1933,128,Unknown,5.8,1938,Moti B. Gidwani,Dixit,unknown,unknown
Insaaniyat,1974,133,"Drama, Family",6.5,13,Prayag Raj,Shashi Kapoor,Madhu,Sujit Kumar
Insaf Ka Mandir,1969,128,"Crime, Drama",6.4,5,B.R. Ishara,Sanjeev Kumar,Snehlata,Nadira
Insaf Ka Tarazu,1980,146,"Crime, Drama",6.4,231,B.R. Chopra,Zeenat Aman,Raj Babbar,Deepak Parashar
Insaf Kahan Hain,1958,128,Drama,5.8,1938,Unknown,unknown,unknown,unknown
Insaf Ki Jung,1988,128,"Action, Crime",5.8,1938,M.G. Hashmat,Shafi Inamdar,Soni Razdan,Priya Tendulkar
Insaf Ki Pukar,1987,128,"Action, Drama",5.2,32,Rama Rao Tatineni,Dharmendra,Jeetendra,Anita Raj
Insaf Ki Tope,1934,128,Unknown,5.8,1938,Dadi Sarkari,Shahzadi,unknown,unknown
Insan,2005,141,"Action, Crime, Drama",4.6,"1,295",K. Subhash,Akshay Kumar,Ajay Devgn,Tusshar Kapoor
Insan aur Insaan,1985,128,Romance,5.8,1938,Unknown,unknown,unknown,unknown
Insaniyat,1994,180,"Action, Crime, Drama",3,262,Tony Juneja,Tom Alter,Sadashiv Amrapurkar,Mahesh Anand
Insaniyat,1955,185,"Action, Drama, Romance",7.4,79,S.S. Vasan,Dilip Kumar,Dev Anand,Bina Rai
Insaniyat,1988,128,Unknown,5.8,1938,Kimi Katkar,unknown,unknown,unknown
Insaniyat Ke Devta,1993,128,"Action, Drama",5.1,64,K.C. Bokadia,Vikas Anand,Rakesh Bedi,Rita Bhaduri
Insaniyat Ke Dushman,1987,145,Action,4.6,52,Rajkumar Kohli,Dharmendra,Shatrughan Sinha,Anita Raj
Insaniyat Ki Jung,1997,165,Action,5.8,1938,R. Elavarasan,Sarath Kumar,Nagma,Radhika Sarathkumar
"Inshallah, Kashmir",2012,82,Documentary,6.8,131,Ashvin Kumar,Omar Abdullah,Bashir Baba,Wajahat Habibullah
Inspector,1957,128,Action,5.6,15,Shakti Samanta,Ashok Kumar,Geeta Bali,Mehmood
Inspector,1970,128,Thriller,5.8,1938,Chand,Alka,Helen,Jayant
Inspector Balram,1991,143,"Action, Drama, Thriller",6.9,342,I.V. Sasi,Mammootty,Murali,Kiran Kumar
Inspector Dhanush,1991,150,"Action, Drama",6.2,29,Shyam Ramsay,Tulsi Ramsay,Vishnuvardhan,Sangeeta Bijlani
Inspector Eagle,1979,128,Adventure,6.1,7,Vishwamitter Adil,Sanjeev Kumar,Neelam Mehra,Bindu
Inspector Gullu,2018,124,Action,6.8,32,Aziz Naser,Habib Al Aidroos,Adnan Sajid Khan,R.K. Mama
Inspector Kiran,2004,118,"Action, Crime, Drama",5.8,1938,Yash,Milind Gunaji,Nirmal Pandey,Neena Kulkarni
Inspector Kiron,1991,128,Action,5.8,1938,Ashok Punjabi,Raj Babbar,Madhur Bhandarkar,Aruna Irani
Inspector Pratap,1988,128,Action,6.6,8,Nandamuri Balakrishna,Mutyala Subbaiah,Vijayshanti,unknown
Inspector Rekha,1973,128,Thriller,5.8,1938,Krishna Ghattamaneni,Azaad Irani,Jyothi Lakshmi,unknown
Inspector Reshma,1997,128,Action,5.8,1938,Shridhar Prasad,Sangeeta Bhonsale,Bindu Kamat,Neeta Kulkarni
Intaqam,1933,128,Unknown,5.8,1938,J.K. Nanda,unknown,unknown,unknown
Intaquam,1969,144,"Drama, Thriller",6.8,48,R.K. Nayyar,Ashok Kumar,Sadhana,Sanjay Khan
Inteha,1984,128,"Drama, Family",5.3,9,Shibu Mitra,Raj Babbar,Reena Roy,Shakti Kapoor
Inteha,2003,155,"Action, Drama, Thriller",5.1,153,Vikram Bhatt,Ashmit Patel,Vidya Malvade,Nauheed Cyrusi
Inteha Julmo Ki,1999,128,Action,5.8,1938,Meena,Rajasekhar,Satyanarayana,unknown
Inteha Pyar Ki,1992,159,"Drama, Family, Musical",3.8,30,J.K. Bihari,Vikas Anand,Aparajita,Asrani
Inteqam,1988,128,Drama,5.2,73,Rajkumar Kohli,Sunny Deol,Anil Kapoor,Kimi Katkar
Inteqam,2001,138,"Comedy, Crime",2.6,10,Aslam Azmi,Akshay Anand,Tinnu Anand,Pooja Dadwal
Inteqam Aurat Ka,1999,128,Action,5.8,1938,Goga Kapoor,Shagufta Ali,Goga Kapoor,Shakti Kapoor
Inteqam Ke Sholay,1995,146,"Action, Thriller",5.8,1938,Jagdish Gautam,Rita Bhaduri,Jagdeep,Bharat Kapoor
Inteqam Ki Aag,1986,128,"Action, Thriller",5.8,1938,Shiv Kumar,Vinod Mehra,Zarina Wahab,Mahendra Sandhu
Inteqam: The Perfect Game,2004,127,"Action, Thriller",5,85,Pankaj Parashar,Manoj Bajpayee,Isha Koppikar,Nethra Raghuraman
Intercity,2018,50,"Action, Thriller",5.8,1938,Prashast Singh,Prashast Singh,unknown,unknown
International Crook,1974,138,"Action, Crime",6.5,62,Pachhi,Dharmendra,Saira Banu,Feroz Khan
International Khiladi,1999,175,"Action, Crime, Drama",4.8,"2,082",Umesh Mehra,Akshay Kumar,Twinkle Khanna,Rajat Bedi
Intezaar Ke Baad,1947,128,Unknown,5.8,1938,G.P. Pawar,Jeevan,Rehman,Shantarin
Intezar,1973,116,Drama,5.8,5,Mohan Singh Kavia,Rinku Jaiswal,Padmini Kapila,Baldev Khosa
Intezar Ki Raatein,1990,128,Thriller,5.8,1938,Abhilasha,Asokan,unknown,unknown
Inth Ka Jawab Patthar,2002,128,"Musical, Action",3,10,Mithu Singh,Sudesh Berry,Biswajit Chatterjee,Divya Dutta
Iqbal,2005,132,"Drama, Sport",8.1,"16,185",Nagesh Kukunoor,Shreyas Talpade,Naseeruddin Shah,Shweta Basu Prasad
Iqraar,1979,128,"Musical, Mystery",4.8,5,Kailash Advani,Birbal,Aruna Irani,Yunus Parvez
Iqraar: By Chance,2006,130,"Comedy, Romance",4.7,41,K. Ravi Shankar,Amarjeet,Shilpa Anand,Deepa Bakshi
Iraada,1991,128,Drama,4.4,17,Indrajit Singh,Shatrughan Sinha,Parveen Babi,Moon Moon Sen
Iraade,2017,84,"Drama, Romance",5.8,1938,Marina Libik,Ashlesha Prabhu,Chirag Saluja,Akshay Kulkarni
Irada,1971,128,Romance,5.8,1938,Rajdeep,Shahida,Sarita,Rajdeep
Irada,2017,109,"Drama, Mystery, Thriller",6.3,"1,284",Aparnaa Singh,Naseeruddin Shah,Arshad Warsi,Divya Dutta
Iran Ki Ek Raat,1949,128,Unknown,5.8,1938,P.C. Barua,Chandrabati Devi,Jamuna,unknown
Iraq Ka Chor,1934,128,Unknown,5.8,1938,Kanjibhai Rathod,Navinchandra,Nazir,unknown
Is God Deaf?,2004,128,Documentary,5.8,1938,Sanjivan Lal,unknown,unknown,unknown
Is Paar Ya Us Paar,1990,128,Drama,5.8,1938,Sudhir Dalvi,Jagdeep,Viju Khote,Manmauji
Is Pyaar Ko Kya Naam Doon,2001,128,Comedy,5.8,50,Rahul Rawail,John Abraham,Akanksha Malhotra,Om Puri
Is Raat Ki Subah Nahin,1996,131,"Crime, Thriller",6.7,279,Sudhir Mishra,Murad Ali,Tara Deshpande,Kishore Kadam
Is She Raju?,2019,155,Comedy,5,38,Rahul Kumar Shukla,Aditi Bhagat,Ansh Gupta,Amit Behl
Ishaara,1964,129,Drama,5.4,10,K. Amarnath,Joy Mukherjee,Vyjayanthimala,Jayant
Ishaara,2008,152,Crime,4.7,7,Dharam,Angeilla Dobson,Milind Gunaji,Mohan Joshi
Ishaara: Call of Love,2006,128,Thriller,5.8,1938,Milind Gunaji,Mohan Joshi,Shakti Kapoor,Sambhavna Sheth
Ishaqzaade,2012,120,"Action, Drama, Romance",6.5,"7,145",Habib Faisal,Arjun Kapoor,Parineeti Chopra,Gauahar Khan
Ishara,1943,128,Unknown,5.8,1938,J.K. Nanda,Prithviraj Kapoor,Suraiya,unknown
Ishk Actually,2013,103,Romance,2.6,143,Anish Khanna,Neha Ahuja,Raayo S. Bakhirta,Neha Ghelot
Ishk Ishk Ishk,1974,131,"Drama, Romance",7.3,59,Dev Anand,Dev Anand,Zeenat Aman,Shabana Azmi
Ishkq in Paris,2013,95,"Comedy, Romance",3.8,751,Prem Soni,Preity Zinta,Isabelle Adjani,Gaurav Chanana
Ishq,1997,161,"Action, Comedy, Drama",6.9,"10,128",Indra Kumar,Aamir Khan,Ajay Devgn,Juhi Chawla
Ishq Aur Inteqaam,1993,128,Thriller,5.8,1938,Sunil Kumar,Krishan Dhawan,Shakti Kapoor,Raza Murad
Ishq Barsa De Piya,2016,128,Mystery,5.8,1938,Agrawal Mukesh Narayan,unknown,unknown,unknown
Ishq firangi,2018,128,Romance,5.8,1938,Meena Lalit,Ashish Chouhan Bagh,unknown,unknown
Ishq Forever,2016,125,Romance,4,96,Sameer Sippy,Krishna Chaturvedi,Ruhi Singh,Javed Jaffrey
Ishq Hai Tumse,2004,148,Romance,3.1,151,G. Krishna,Dino Morea,Bipasha Basu,Beena Banerjee
Ishq Ho Gaya Mamu,2008,100,Comedy,5.8,1938,Sumbul Gazi,Nasir Khan,Meenu Bharadwaj,Avtar Gill
Ishq Ka Achar,2004,128,Thriller,5.8,1938,Unknown,unknown,unknown,unknown
Ishq Ka Manjan,2017,135,"Comedy, Drama",5.8,12,Ramkumar Pawadia,Munesh Nehra,Asrani,Shakti Kapoor
Ishq Ka Toofan,1992,128,Romance,5.8,1938,Unknown,unknown,unknown,unknown
